2017-04-07 11:53:03 -> 支付id：1,充值的游戏渠道：tmfyol_60168_308,支付ip地址：117.171.211.59,手机imei码：863904030111834;
2017-04-07 11:58:33 -> 支付id：1,充值的游戏渠道：jztl_60118_121,支付ip地址：59.40.165.235,手机imei码：860714234991953;
2017-04-07 11:59:07 -> 支付id：1,充值的游戏渠道：jztl_60118_121,支付ip地址：59.40.165.235,手机imei码：860714234991953;
2017-04-07 12:01:13 -> 支付id：1,充值的游戏渠道：gmdl_60181_307,支付ip地址：59.40.165.235,手机imei码：862886032241597;
2017-04-07 12:16:03 -> 支付id：1,充值的游戏渠道：jztl_60118_169,支付ip地址：223.104.25.241,手机imei码：868508027690364;
2017-04-07 12:41:41 -> 支付id：1,充值的游戏渠道：gmdl_60181_292,支付ip地址：183.205.0.47,手机imei码：863100036566648;
2017-04-07 12:50:39 -> 支付id：1,充值的游戏渠道：jztl_60118_169,支付ip地址：183.18.35.138,手机imei码：865335029427766;
2017-04-07 13:21:01 -> 支付id：1,充值的游戏渠道：jztl_60118_264,支付ip地址：183.228.2.210,手机imei码：862331033350022;
2017-04-07 13:25:42 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：117.40.168.250,手机imei码：862467032125013;
2017-04-07 13:28:59 -> 支付id：1,充值的游戏渠道：tmfyol_60168_169,支付ip地址：36.186.131.139,手机imei码：863473021055988;
2017-04-07 13:35:41 -> 支付id：1,充值的游戏渠道：jztl_60118_264,支付ip地址：183.228.2.210,手机imei码：862331033350022;
2017-04-07 14:24:38 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：58.243.254.160,手机imei码：862734039886305;
2017-04-07 14:26:47 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：60.189.191.70,手机imei码：861258031235270;
2017-04-07 14:35:56 -> 支付id：1,充值的游戏渠道：tmfyol_60168_225,支付ip地址：117.158.75.185,手机imei码：359650053410675;
2017-04-07 14:36:54 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：112.28.157.104,手机imei码：863894036425538;
2017-04-07 14:37:50 -> 支付id：1,充值的游戏渠道：default,支付ip地址：59.40.165.235,手机imei码：860714234991953;
2017-04-07 14:37:59 -> 支付id：1,充值的游戏渠道：default,支付ip地址：59.40.165.235,手机imei码：860714234991953;
2017-04-07 14:43:56 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：223.73.168.90,手机imei码：863883037360737;
2017-04-07 14:46:54 -> 支付id：1,充值的游戏渠道：tmfyol_60168_269,支付ip地址：223.104.25.226,手机imei码：869026022779891;
2017-04-07 14:47:54 -> 支付id：1,充值的游戏渠道：tmfyol_60168_269,支付ip地址：223.104.25.226,手机imei码：869026022779891;
2017-04-07 14:47:56 -> 支付id：1,充值的游戏渠道：tmfyol_60168_241,支付ip地址：59.109.64.219,手机imei码：863730030936767;
2017-04-07 14:49:00 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：223.67.171.84,手机imei码：863292037999553;
2017-04-07 14:49:08 -> 支付id：1,充值的游戏渠道：tmfyol_60168_283,支付ip地址：175.44.169.105,手机imei码：861483030486829;
2017-04-07 14:51:50 -> 支付id：1,充值的游戏渠道：tmfyol_60168_269,支付ip地址：223.104.25.226,手机imei码：869026022779891;
2017-04-07 14:58:02 -> 支付id：1,充值的游戏渠道：tmfyol_60168_269,支付ip地址：223.104.25.226,手机imei码：869026022779891;
2017-04-07 14:59:53 -> 支付id：1,充值的游戏渠道：tmfyol_60168_225,支付ip地址：59.173.160.115,手机imei码：354910074251952;
2017-04-07 15:00:28 -> 支付id：1,充值的游戏渠道：tmfyol_60168_269,支付ip地址：223.104.64.2,手机imei码：865737027785295;
2017-04-07 15:08:46 -> 支付id：1,充值的游戏渠道：tmfyol_60168_269,支付ip地址：223.104.25.226,手机imei码：869026022779891;
2017-04-07 15:09:51 -> 支付id：1,充值的游戏渠道：tmfyol_60168_269,支付ip地址：223.104.25.226,手机imei码：869026022779891;
2017-04-07 15:11:03 -> 支付id：1,充值的游戏渠道：tmfyol_60168_269,支付ip地址：223.104.25.226,手机imei码：869026022779891;
2017-04-07 15:29:56 -> 支付id：1,充值的游戏渠道：tmfyol_60168_273,支付ip地址：183.202.59.93,手机imei码：867878020770153;
2017-04-07 15:32:15 -> 支付id：1,充值的游戏渠道：tmfyol_60168_273,支付ip地址：183.202.59.93,手机imei码：867878020770153;
2017-04-07 15:33:11 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：123.147.248.163,手机imei码：864499039324586;
2017-04-07 15:34:12 -> 支付id：1,充值的游戏渠道：tmfyol_60168_273,支付ip地址：183.202.59.93,手机imei码：867878020770153;
2017-04-07 15:44:36 -> 支付id：1,充值的游戏渠道：tmfyol_60168_283,支付ip地址：182.133.219.174,手机imei码：863739033685800;
2017-04-07 16:03:16 -> 支付id：1,充值的游戏渠道：tmfyol_60168_269,支付ip地址：223.104.25.226,手机imei码：869026022779891;
2017-04-07 16:04:31 -> 支付id：1,充值的游戏渠道：tmfyol_60168_269,支付ip地址：223.104.25.226,手机imei码：869026022779891;
2017-04-07 17:05:29 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：114.245.133.204,手机imei码：868062021266490;
2017-04-07 17:06:04 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：114.245.133.204,手机imei码：868062021266490;
2017-04-07 17:29:05 -> 支付id：1,充值的游戏渠道：jztl_60118_264,支付ip地址：183.228.2.210,手机imei码：862331033350022;
2017-04-07 17:38:22 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：113.93.95.57,手机imei码：A100004E6AE4D6;
2017-04-07 18:12:44 -> 支付id：1,充值的游戏渠道：tmfyol_60168_257,支付ip地址：139.207.191.34,手机imei码：863905039261876;
2017-04-07 18:20:59 -> 支付id：1,充值的游戏渠道：tmfyol_60168_241,支付ip地址：59.58.175.182,手机imei码：861730034169854;
2017-04-07 18:38:11 -> 支付id：1,充值的游戏渠道：tmfyol_60168_241,支付ip地址：27.159.247.41,手机imei码：862341030278050;
2017-04-07 19:14:54 -> 支付id：1,充值的游戏渠道：jztl_60118_169,支付ip地址：125.62.40.15,手机imei码：868965028104938;
2017-04-07 19:29:02 -> 支付id：1,充值的游戏渠道：qyxxc_60174_168,支付ip地址：171.9.24.213,手机imei码：A100003A3AB598;
2017-04-07 19:31:26 -> 支付id：1,充值的游戏渠道：bzgl_60158_246,支付ip地址：223.104.101.30,手机imei码：869894020446833;
2017-04-07 19:41:31 -> 支付id：1,充值的游戏渠道：jztl_60118_211,支付ip地址：112.17.238.60,手机imei码：865700020833330;
2017-04-07 19:46:08 -> 支付id：1,充值的游戏渠道：jztl_60118_169,支付ip地址：125.62.40.15,手机imei码：868965028104938;
2017-04-07 19:54:39 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：101.247.208.49,手机imei码：861760031213850;
2017-04-07 19:54:43 -> 支付id：1,充值的游戏渠道：tmfyol_60168_292,支付ip地址：117.136.76.178,手机imei码：864892022594878;
2017-04-07 19:58:14 -> 支付id：1,充值的游戏渠道：tmfyol_60168_292,支付ip地址：117.136.76.178,手机imei码：864892022594878;
2017-04-07 20:24:15 -> 支付id：1,充值的游戏渠道：zlcs_60147_283,支付ip地址：115.216.144.209,手机imei码：974648830130497;
2017-04-07 20:24:15 -> 支付id：1,充值的游戏渠道：zlcs_60147_283,支付ip地址：115.216.144.209,手机imei码：974648830130497;
2017-04-07 20:27:38 -> 支付id：1,充值的游戏渠道：gmdl_60181_292,支付ip地址：122.192.14.166,手机imei码：861414034246943;
2017-04-07 20:27:46 -> 支付id：1,充值的游戏渠道：tmfyol_60168_169,支付ip地址：42.94.21.50,手机imei码：860267039887645;
2017-04-07 21:02:54 -> 支付id：1,充值的游戏渠道：tmfyol_60168_283,支付ip地址：120.192.58.252,手机imei码：864359035445035;
2017-04-07 21:10:58 -> 支付id：1,充值的游戏渠道：tmfyol_60168_269,支付ip地址：223.104.25.226,手机imei码：869026022779891;
2017-04-07 21:12:43 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：14.213.159.165,手机imei码：869609021394257;
